,Operator,Lateral Length,Stages,Township ,Range,Section,"Total Prop, lbs","Fluid, bbls",Date Fracd,Latitude,Longitude,SPACING_CAPPED,12 month Cum Prod,Year Fracd,Month Fracd,Day Fracd,Formation,Compl. Type
0,Operator 1,4376.0,1,161,95,17,319000.0,24163.4,20040101.0,48.765628331221,-103.030310330794,660.0,21.95,2004,1,1,MBH,CT
1,Operator 1,6048.0,30,140,97,5,640000.0,9568.0,20040101.0,46.9644066480783,-102.956574777727,660.0,12.44,2004,1,1,MBH,CT
2,Operator 1,4113.0,1,162,96,9,359000.0,22211.6380952381,20050101.0,48.8787559747853,-103.152480265688,660.0,27.33,2005,1,1,MBH,CT
3,Operator 1,7194.0,1,162,95,7,787000.0,9355.0,20050101.0,48.8660616687237,-103.054105778599,660.0,12.18,2005,1,1,MBH/TFH,CT
4,Operator 1,5114.0,30,141,99,10,520764.0,16079.0,20060101.0,47.0511495759384,-103.214580077877,660.0,33.55,2006,1,1,MBH,CT
5,Operator 1,10758.0,1,141,98,9,75000.0,18932.4,20060101.0,47.0391468690704,-103.116297346212,660.0,10.68,2006,1,1,MBH,CT
6,Operator 1,10626.0,1,142,99,2,430000.0,26063.0,20060101.0,47.1404510409445,-103.199176605827,660.0,41.55,2006,1,1,MBH,CT
7,Operator 1,11186.0,1,141,98,18,843927.0,13067.0,20060101.0,47.0247114875895,-103.158211039489,660.0,17.31,2006,1,1,MBH,CT
8,Operator 1,3861.0,1,162,96,8,382000.0,22211.6380952381,20060101.0,48.8658954724364,-103.175646656003,660.0,4.47,2006,1,1,MBH,CT
9,Operator 1,5529.0,1,161,95,13,819000.0,17346.0,20060101.0,48.777807879293,-102.959747912818,660.0,17.68,2006,1,1,MBH,CT
10,Operator 1,12072.0,1,146,95,5,795000.0,18376.0,20060101.0,47.4890293861918,-102.818998201409,660.0,53.41,2006,1,1,MBH,CT
11,Operator 1,4555.0,1,154,100,16,601000.0,13326.0,20060101.0,48.1549376578954,-103.547019173313,660.0,24.55,2006,1,1,MBH,CT
12,Operator 1,4315.0,1,159,95,16,726820.0,13531.0,20061126.0,48.6012378364654,-102.971697061736,660.0,32.99,2006,11,26,MBH,P & P
13,Operator 1,10654.0,1,142,99,1,845000.0,9342.0,20070101.0,47.1402477024565,-103.178390893757,660.0,27.85,2007,1,1,MBH,CT
14,Operator 1,10451.0,1,141,99,2,748000.0,10607.0,20070101.0,47.0533459083162,-103.199282584494,660.0,20.04,2007,1,1,MBH,CT
15,Operator 1,9667.0,1,141,99,12,37000.0,24163.4,20070101.0,47.0522024561971,-103.160510359767,660.0,21.22,2007,1,1,MBH,CT
16,Operator 1,5097.0,1,143,99,35,584000.0,8662.0,20070101.0,47.1675947142664,-103.198988073569,660.0,9.11,2007,1,1,MBH,CT
17,Operator 1,10462.0,1,160,96,11,785000.0,12053.0,20070101.0,48.7051002826571,-103.05713896675,660.0,14.72,2007,1,1,MBH,CT
18,Operator 1,6159.0,1,162,96,24,767000.0,5678.0,20070101.0,48.8369739370967,-103.07300437186,660.0,10.65,2007,1,1,TFH,CT
19,Operator 1,4841.0,1,162,97,15,637000.0,20085.2,20070101.0,48.8514181679965,-103.248250715257,660.0,7.99,2007,1,1,TFH,CT
20,Operator 1,8683.0,24,160,95,15,541000.0,17847.05714285714,20070101.0,48.6903815017291,-102.945332751503,658.37309,54.9,2007,1,1,MBH,CT
21,Operator 1,12196.0,1,146,95,6,1398000.0,15128.0,20070101.0,47.4888377902965,-102.840820853222,660.0,41.38,2007,1,1,MBH,CT
22,Operator 1,9361.0,1,146,96,27,795000.0,9990.0,20070101.0,47.4308759554993,-102.904804662473,559.918705,30.2,2007,1,1,MBH,CT
23,Operator 1,12585.0,1,147,96,24,1054000.0,24951.0,20070101.0,47.5322281893009,-102.862994722295,660.0,43.31,2007,1,1,MBH,CT
24,Operator 1,12387.0,1,146,95,9,988000.0,12467.0,20070101.0,47.487251657313,-102.799300235237,660.0,35.14,2007,1,1,MBH,CT
25,Operator 1,11900.0,1,147,96,36,1014000.0,12180.0,20070101.0,47.5030430167462,-102.844880851496,660.0,68.05,2007,1,1,MBH,CT
26,Operator 1,8775.0,1,146,96,24,980000.0,11372.0,20070101.0,47.457654721261,-102.854353500824,643.444785,46.68,2007,1,1,MBH,CT
27,Operator 1,7262.0,1,148,97,5,1298000.0,14420.0,20070101.0,47.6609433662086,-103.076287580389,660.0,21.59,2007,1,1,MBH,CT
28,Operator 1,19129.0,2,146,96,12,1864000.0,18210.0,20070101.0,47.4866507263689,-102.859661911549,218.72231,61.27,2007,1,1,MBH,CT
29,Operator 1,8893.0,1,147,96,28,1011000.0,18712.6,20070101.0,47.5177507733355,-102.922201451177,660.0,100.08,2007,1,1,MBH,CT
30,Operator 1,8860.0,1,145,96,2,851000.0,7586.0,20070101.0,47.4018624615307,-102.869936143434,660.0,49.91,2007,1,1,MBH,CT
31,Operator 1,14025.0,24,146,98,15,138000.0,19881.542857142857,20070101.0,47.4637867163675,-103.161258293087,660.0,5.52,2007,1,1,MBH,CT
32,Operator 1,9892.0,8,145,98,20,79000.0,18932.4,20070101.0,47.3586219218504,-103.203291943109,660.0,10.88,2007,1,1,MBH,CT
33,Operator 1,8742.0,22,156,91,35,665000.0,9938.0,20070101.0,48.2846214925436,-102.348072646915,660.0,35.02,2007,1,1,MBH,CT
34,Operator 1,4910.0,5,158,96,17,1286000.0,74081.0,20070101.0,48.5046546045014,-103.122107478544,660.0,8.63,2007,1,1,MBH,CT
35,Operator 1,10171.0,1,159,95,8,881000.0,12052.0,20070101.0,48.6050184083689,-102.99255022162,660.0,44.76,2007,1,1,MBH,CT
36,Operator 1,4900.0,4,158,96,17,1140000.0,67789.0,20070424.0,48.5041064030009,-103.122114777084,660.0,17.4,2007,4,24,MBH,P & P
37,Operator 1,6467.0,1,147,96,8,1240320.0,14459.0,20070629.0,47.560711068548,-102.92951838536,660.0,26.21,2007,6,29,MBH,P & P
38,Operator 1,8412.0,1,145,96,4,626348.0,7769.0,20070911.0,47.4020095384475,-102.913061676017,660.0,49.49,2007,9,11,MBH,P & P
39,Operator 1,8709.0,1,160,94,30,1023000.0,14018.0,20080101.0,48.6484030158724,-102.869139486912,660.0,17.12,2008,1,1,MBH,CT
40,Operator 1,9089.0,18,160,95,7,1268000.0,20287.0,20080101.0,48.6920039731651,-103.008785484541,660.0,49.58,2008,1,1,MBH,CT
41,Operator 1,8635.0,10,146,95,18,542000.0,13568.0,20080101.0,47.4729492583073,-102.837858034967,333.559195,74.09,2008,1,1,MBH,CT
42,Operator 1,9182.0,1,147,96,5,1075000.0,10748.0,20080101.0,47.5752065619568,-102.938695764676,660.0,26.82,2008,1,1,MBH,CT
43,Operator 1,8837.0,10,145,96,1,740000.0,20442.0,20080101.0,47.4018547846938,-102.848231893852,660.0,60.79,2008,1,1,MBH,CT
44,Operator 1,9119.0,10,147,96,33,686000.0,15520.0,20080101.0,47.5158325327237,-102.923053685724,639.182955,40.68,2008,1,1,MBH,CT
45,Operator 1,9214.0,10,146,96,9,825000.0,18901.0,20080101.0,47.4869129841714,-102.920791279709,660.0,57.62,2008,1,1,MBH,CT
46,Operator 1,8530.0,10,147,96,14,1022000.0,8087.0,20080101.0,47.5472376404235,-102.869887986939,60.30761,79.07,2008,1,1,MBH,CT
47,Operator 1,9051.0,14,147,96,23,988000.0,28066.0,20080101.0,47.5436087440482,-102.870912878681,660.0,86.24,2008,1,1,TFH,CT
48,Operator 1,8965.0,1,145,95,6,1003000.0,9613.0,20080124.0,47.4147225019665,-102.837963857066,660.0,24.88,2008,1,24,MBH,P & P
49,Operator 1,9291.0,10,145,96,5,921225.0,21461.0,20080210.0,47.4014537431182,-102.94446385155,660.0,26.67,2008,2,10,TFH,P & P
50,Operator 1,9268.0,1,160,95,31,1040700.0,16449.0,20080329.0,48.6337517214051,-103.008340514455,660.0,29.99,2008,3,29,MBH,P & P
51,Operator 1,9416.0,1,146,96,23,1051900.0,9038.0,20080418.0,47.4580951903236,-102.868834906629,500.07911,49.83,2008,4,18,MBH,P & P
52,Operator 1,9100.0,1,146,96,14,1044000.0,9775.0,20080427.0,47.459824638361,-102.86804702038,277.059855,47.13,2008,4,27,MBH,P & P
