,Lateral Length,Stages,Township ,Range,Section,"Total Prop, lbs","Fluid, bbls",Best12 Mo BOPD,Latitude,Longitude,12 month Cum Prod,Year Fracd,Month Fracd,Day Fracd,Operator_Operator 1,Operator_Operator 10,Operator_Operator 11,Operator_Operator 12,Operator_Operator 15,Operator_Operator 16,Operator_Operator 17,Operator_Operator 18,Operator_Operator 19,Operator_Operator 2,Operator_Operator 20,Operator_Operator 21,Operator_Operator 22,Operator_Operator 23,Operator_Operator 24,Operator_Operator 25,Operator_Operator 26,Operator_Operator 27,Operator_Operator 28,Operator_Operator 29,Operator_Operator 30,Operator_Operator 32,Operator_Operator 33,Operator_Operator 34,Operator_Operator 35,Operator_Operator 36,Operator_Operator 37,Operator_Operator 38,Operator_Operator 39,Operator_Operator 4,Operator_Operator 41,Operator_Operator 43,Operator_Operator 44,Operator_Operator 45,Operator_Operator 46,Operator_Operator 48,Operator_Operator 49,Operator_Operator 5,Operator_Operator 50,Operator_Operator 51,Operator_Operator 6,Operator_Operator 7,Operator_Operator 8,Operator_Operator 9,Formation_MBH,Formation_MBH/TFH,Formation_MTFH,Formation_TF1,Formation_TF2,Formation_TF2.5,Formation_TF3,Formation_TF4,Formation_TFH,Formation_TFSH,Formation_UTFH,Compl. Type_CT,Compl. Type_CT and P & P,Compl. Type_Cemented Liner,Compl. Type_Coil Tubing Frac,Compl. Type_Frac Ports,Compl. Type_Frac Ports and P & P,Compl. Type_Frac Ports and Repeater Ports,Compl. Type_OH,Compl. Type_P & P,Compl. Type_Perforated Liner,Compl. Type_Repeater Ports and P & P,Compl. Type_Screen,Compl. Type_Sleeves,Compl. Type_Sleeves and P & P
0,4376.0,1,161,95,17,319000.0,24163.4,87.5602673679597,48.765628331221,-103.030310330794,21.95,2004,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6048.0,30,140,97,5,640000.0,9568.0,53.6708305939075,46.9644066480783,-102.956574777727,12.44,2004,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4113.0,1,162,96,9,359000.0,24163.4,72.4961648038571,48.8787559747853,-103.152480265688,27.33,2005,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7194.0,1,162,95,7,787000.0,9355.0,32.3663160201622,48.8660616687237,-103.054105778599,12.18,2005,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5114.0,30,141,99,10,503200.0,16079.0,88.2752575060267,47.0511495759384,-103.214580077877,33.55,2006,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10758.0,1,141,98,9,75000.0,24163.4,26.7696690773614,47.0391468690704,-103.116297346212,10.68,2006,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10626.0,1,142,99,2,491351.0,26063.0,105.119986850756,47.1404510409445,-103.199176605827,41.55,2006,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11186.0,1,141,98,18,843927.0,13067.0,44.1458470304624,47.0247114875895,-103.158211039489,17.31,2006,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3861.0,1,162,96,8,382000.0,24163.4,12.2315362699978,48.8658954724364,-103.175646656003,4.47,2006,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,5529.0,1,161,95,13,819000.0,17346.0,60.9522244137629,48.777807879293,-102.959747912818,17.68,2006,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,12072.0,1,146,95,5,795000.0,18376.0,161.168639053254,47.4890293861918,-102.818998201409,53.41,2006,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,4555.0,1,154,100,16,601000.0,13326.0,65.7462195923734,48.1549376578954,-103.547019173313,24.55,2006,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4315.0,1,159,95,16,726820.0,13531.0,86.4151873767258,48.6012378364654,-102.971697061736,32.99,2006,11,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,10654.0,1,142,99,1,845000.0,9342.0,75.8820951128643,47.1402477024565,-103.178390893757,27.85,2007,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,10451.0,1,141,99,2,748000.0,10607.0,53.2708744247206,47.0533459083162,-103.199282584494,20.04,2007,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,9667.0,1,141,99,12,37000.0,24163.4,56.4513477975016,47.0522024561971,-103.160510359767,21.22,2007,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,5097.0,1,143,99,35,584000.0,8662.0,23.4960552268245,47.1675947142664,-103.198988073569,9.11,2007,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,10462.0,1,160,96,11,785000.0,12053.0,38.8450580758273,48.7051002826571,-103.05713896675,14.72,2007,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,6159.0,1,162,96,24,767000.0,5678.0,33.8127328511944,48.8369739370967,-103.07300437186,10.65,2007,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,4841.0,1,162,97,15,637000.0,20864.4,22.9947403024326,48.8514181679965,-103.248250715257,7.99,2007,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,8683.0,24,160,95,15,541000.0,23661.2,144.581415735262,48.6903815017291,-102.945332751503,54.9,2007,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,12196.0,1,146,95,6,1398000.0,15128.0,137.206881437651,47.4888377902965,-102.840820853222,41.38,2007,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,9361.0,1,146,96,27,795000.0,9990.0,105.944554021477,47.4308759554993,-102.904804662473,30.2,2007,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,12585.0,1,147,96,24,1054000.0,24951.0,151.17795310103,47.5322281893009,-102.862994722295,43.31,2007,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12387.0,1,146,95,9,988000.0,12467.0,102.827087442472,47.487251657313,-102.799300235237,35.14,2007,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,11900.0,1,147,96,36,1014000.0,12180.0,311.491891299584,47.5030430167462,-102.844880851496,68.05,2007,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,8775.0,1,146,96,24,980000.0,11372.0,129.462524654832,47.457654721261,-102.854353500824,46.68,2007,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,7262.0,1,148,97,5,1298000.0,14420.0,60.4728248959018,47.6609433662086,-103.076287580389,21.59,2007,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,19129.0,2,146,96,12,1864000.0,18210.0,179.040653079115,47.4866507263689,-102.859661911549,61.27,2007,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,8893.0,1,147,96,28,1011000.0,24926.2,278.744795090949,47.5177507733355,-102.922201451177,100.08,2007,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,8860.0,1,145,96,2,851000.0,7586.0,151.251917598071,47.4018624615307,-102.869936143434,49.91,2007,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,14025.0,24,146,98,15,138000.0,24163.4,20.6881437650668,47.4637867163675,-103.161258293087,5.52,2007,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
